BAJA+1	BAJA+2	CONTINUA	MeanDecreaseAccuracy
0.000643843466593673	0.000643388278310663	6.2644015972606e-05	6.4202775108391e-05
0	0	0	0
0.000935749939856787	0.00105817785554138	0.000137439673455457	0.000126343663312868
2.50789562188692e-05	2.58008708747475e-05	5.10730322744556e-06	4.93315581779126e-06
0.000173399379961273	0.000197308708824488	1.86833926400336e-05	1.64346397772581e-05
0.000531758897843026	0.000496227595287131	3.32802742731794e-05	3.78696103222356e-05
0.000673062949254913	0.000634219115214485	7.3223569251353e-05	7.04043950441843e-05
0.00109239976702029	0.00102365095131164	6.65811956789374e-05	6.58911641808704e-05
0.00103936101625232	0.00106479655283059	7.0369085110707e-05	7.76612628133355e-05
0.00117166405092885	0.00141672503278393	0.000395795500886345	0.000366742471321645
0.00229682811177905	0.00205452531690336	0.000104821518077514	0.000124864749513753
0.00323883045481215	0.00369137364703678	0.000146426334288069	0.000214367380720807
0.00134715215012166	0.00117400220261111	8.38229650049281e-05	7.70668600697691e-05
5.96342437719111e-05	5.36512765979966e-05	2.28218982767538e-06	3.47374860131193e-06
0	0	0	0
5.77925191130004e-05	4.19194995341776e-05	6.07423302709157e-06	5.98388786740042e-06
4.09334574407916e-05	4.72131380245845e-05	6.42022664122588e-06	6.08609513233136e-06
7.7795520589125e-05	0.000105036352625649	1.8161806675191e-05	1.58557252231621e-05
0	0	8.11229173925234e-07	7.5539549964538e-07
0	0	0	0
0.00144082216989799	0.000986807464450292	5.46556931962847e-05	6.58002505746001e-05
0.000119104306274342	0.000145673981046909	1.2121619817249e-05	1.26418896910951e-05
0.00277764324667143	0.00332892962028781	0.000160444110398994	0.000205820029591618
5.83485963586406e-05	7.32860329867935e-05	9.73912213669698e-06	9.21992404118828e-06
0.00131944733677472	0.0014342438493875	6.07233132650514e-05	7.32855044252163e-05
0.000660261535787833	0.000508498446451159	2.76384003911275e-05	2.87497711289018e-05
0.00281661457752336	0.00317100391555606	0.000140269021203429	0.000204044733168165
0.000246493133746009	0.000182910106818123	9.48553646009684e-06	1.38585133078196e-05
0.00161523780876068	0.00206791771672477	0.000246278061943803	0.000226245111246988
0.00175886039490456	0.0023742969909834	0.000174202756868776	0.000181839975123465
0.00121895986007627	0.000860657569667771	0.000148891570366155	0.000131047440658565
0.00322446654557882	0.00350870199650283	0.000476128987753306	0.000474265500620475
0.00336501278637521	0.00411378529890035	0.000726202550593701	0.000724904937566129
0.00138294132213786	0.000845070434690189	5.35205721140708e-05	5.45031005898265e-05
0.000547362161467131	0.000546529850307899	2.76278893436239e-05	2.62622066974886e-05
0.000676613784199623	0.000705164073166868	0.000102402514342029	9.59142033544897e-05
0.00040247860455347	0.000504342235501726	7.19228557682561e-05	7.42970242535868e-05
0.000469924607093359	0.000565146986729831	8.49735611067302e-05	8.2364861846793e-05
1.79879629211675e-05	2.71791135041661e-05	3.62359147276892e-06	3.58418803238451e-06
1.67224780925426e-05	3.09562998222649e-05	2.67921286812244e-06	2.91502922185282e-06
0	1.3472765750672e-05	1.38678188284093e-06	1.18591314250253e-06
0	0	3.43275976901379e-06	3.20477177332951e-06
0.000111799220849113	0.000106207730844428	5.8334526306935e-06	6.66785157030089e-06
0.000175871146172881	0.000116657194616937	1.40938614071444e-05	1.3922625249228e-05
0	0	0	0
0	1.32054489699047e-05	2.14189421467387e-06	1.92932056393733e-06
0	1.36384145099016e-05	4.4871105919467e-06	4.65159177031222e-06
0	0	0	0
5.78389612478787e-05	6.304398994716e-05	3.85348462588308e-06	4.17544069011706e-06
9.18036023981596e-05	5.40709639063329e-05	5.19913688029161e-06	6.05790857826673e-06
0.000113182983642757	0.000168426645879311	1.07765185024473e-05	9.01754281598991e-06
0	3.44905689211845e-05	1.27757854933302e-06	1.77319740096365e-06
0.000204575047064852	0.000160630065590217	4.32853901910705e-06	9.3897867746625e-06
0.000160303395840313	0.000123380693043162	5.12159215783831e-06	6.40962592179863e-06
8.72015879976805e-05	8.73719680950977e-05	8.39565595012825e-06	8.6076964735346e-06
