Feature	Gain	Cover	Frequency	ranking
cseguro_vivienda	0.000108070189762156	0.000241609827726552	0.000468252481738153	116
mcaja_ahorro_adicional	0.000107196302545669	0.00199296536638666	0.000374601985390523	117
Master_madelantodolares	0.000102051912143611	6,54E+07	0.000280951489042892	118
cseguro_auto	7,29E+09	0.00219591080044646	0.000280951489042892	119
ccheques_depositados	6,27E+09	0.00140569429223998	0.000187300992695261	120
Visa_madelantopesos	6,25E+09	6,84E+09	0.000280951489042892	121
cseguro_vida	5,75E+09	0.000248753683988734	0.000187300992695261	122
ccajas_depositos	2,11E+09	0.000635425274293316	9,37E+09	123
Master_delinquency	1,47E+07	0.000142499192202692	9,37E+09	124
Visa_cadelantosefectivo	4,61E+03	9,12E+09	9,37E+09	125
Master_cadelantosefectivo	8,46E+01	0.00017704319393499	0.000374601985390523	126
Master_madelantopesos	1,15E+01	0.000174300874918216	0.000187300992695261	127
