fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220418 113310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	152	TRUE	0.0537043409779423	0.305416468931641	6331	7	0.00834277736278232	11137000	84
20220418 120455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	8154	TRUE	0.00102959001970223	0.998017098675002	10605	29	0.0248442793640497	12115000	85
20220418 120551	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.059111334473826	0.396288412703481	3299	7	0.0167001037549732	13323000	86
20220418 120613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.13928700676274	0.999970509041793	11976	7	0.0209825928482993	12925000	87
20220418 122921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	9967	TRUE	0.00103886050611052	0.178014232215796	7090	2	0.0235452430197571	11654000	88
20220418 122940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.444697877343868	0.277381785371051	5447	7	0.0155058694305027	12331000	89
20220418 123006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.342058172166764	0.569145839940217	12311	8	0.015975159058393	12611000	90
20220418 123023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	0.406722909317068	0.999627222432761	10164	7	0.0188538769345757	12485000	91
20220418 123148	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	313	TRUE	0.0523323104944932	0.305705283004077	2069	5	0.0157837574405024	13544000	92
20220418 123212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.481657847725044	0.102184073574003	11279	17	0.013264312101949	11791000	93
20220418 123330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	268	TRUE	0.0598661740441127	0.271441633760017	7520	7	0.0137873561277724	13174000	94
20220418 123401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.233540012065863	0.912430014054139	14993	2	0.0117818216126002	12385000	95
20220418 123422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.400104502644705	0.10069180989456	10013	16	0.0223429520267916	11764000	96
20220418 123439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.428033546274188	0.928883274500256	12496	22	0.0173517315065625	12639000	97
20220418 125143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	2437	TRUE	0.0016607087497627	0.756083153036013	779	21	0.0156785138810556	13074000	98
20220418 131227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1798	TRUE	0.00177562021975971	0.39579708986763	1830	26	0.0148805539099671	13604000	99
20220418 131301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	221	TRUE	0.12852534133161	0.976454054207386	6548	2	0.016331957943608	13335000	100
20220418 131351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	378	TRUE	0.096072570627387	0.676394483752721	14977	2	0.0207005301667523	12576000	101
20220418 132608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1341	TRUE	0.00243556158459396	0.96576303523138	624	30	0.0214805680917871	12773000	102
20220418 135358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	4371	TRUE	0.00113656345300713	0.992133385944603	10908	30	0.0162534614848207	13308000	103
20220418 135424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.139231527617355	0.915691044303559	12044	28	0.0215864871403804	12515000	104
20220418 143455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6356	TRUE	0.00103144155328949	0.37852826133027	4981	18	0.0145256728560571	13557000	105
20220418 151508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6945	TRUE	0.00100282197634659	0.276599576028282	384	30	0.0206104158186851	13135000	106
20220418 154928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	4087	TRUE	0.0010058643425732	0.339312076306798	1618	17	0.0149929071628552	13734000	107
20220418 162132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	5891	TRUE	0.00139237224075294	0.228143707126974	849	18	0.0200117550318161	13289000	108
20220418 162157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.241754885869961	0.99879812966448	10229	17	0.013010586996709	12218000	109
20220418 162213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.47494079697295	0.192134971636244	10702	2	0.0182487343021035	12923000	110
20220418 162237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	0.38706626991734	0.178765731158174	14997	2	0.01089061339438	11857000	111
20220418 162259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.282628743565812	0.637064655095399	14986	18	0.0184298333833018	12863000	112
20220418 162325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.30706889634591	0.385359544601139	1137	30	0.0199169491107471	10969000	113
20220418 170159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	4799	TRUE	0.00107923309850877	0.38888727638219	673	22	0.0219014220369415	13100000	114
20220418 170249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0598104443752928	0.888956880055567	1996	7	0.0161547142134144	13672000	115
20220418 170309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.392035553108478	0.246672940627494	14999	21	0.0165640019843983	12633000	116
20220418 170338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.184020131534473	0.367756317564302	10341	9	0.0209506888112828	12484000	117
20220418 170356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.356519516937503	0.872165425405832	13756	2	0.0216995464800906	12762000	118
20220418 171454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1180	TRUE	0.00335704181698239	0.407754194197813	1607	18	0.014567185143315	13569000	119
20220418 171528	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.0565885221694197	0.996505314289829	176	7	0.0218538580825631	12441000	120
