Feature	Gain	Cover	Frequency
ctrx_quarter_min6	0.0404145119960257	0.00478785426689969	0.0012108266321022
mcaja_ahorro	0.0370180914722802	0.00354543915127619	0.00170174796723924
ctrx_quarter_normalizado	0.0303058746609957	0.00454395209716976	0.00171780219334527
ctrx_quarter	0.0285642523969551	0.0036734157214443	0.00167470927063961
mdescubierto_preacordado_avg6_delta1	0.0172107909937894	0.000895674545871562	0.000259402495502704
mcaja_ahorro_lag1	0.0171268189732335	0.00137273838758729	0.000918470725118696
mdescubierto_preacordado_tend6	0.0151773430611579	0.000846318466305974	0.00022898396182812
ctrx_quarter_lag1	0.0148487704708305	0.00182912692908932	0.00140770214171826
mtarjeta_visa_consumo	0.0145407957225729	0.00395213627984538	0.00122941573601445
cpayroll_trx	0.0101968866615435	0.00461419271229187	0.000459657842193717
mcuentas_saldo	0.00985627559128254	0.00347840246037223	0.00268612551531953
mprestamos_personales_ratioavg6	0.00896988293584418	0.00351529950687274	0.000977617873930387
mprestamos_personales_ratiomax6	0.00845063279309824	0.00220942282990604	0.00100550152979876
mpayroll	0.00806795350587283	0.00545383357290686	0.000659068229615991
mcaja_ahorro_ratioavg6	0.0077431932171054	0.0019818999968693	0.00238194017857369
mcuenta_corriente_avg6_delta1	0.00726747561151814	0.000596656585132113	0.00100550152979876
mpayroll_sobre_edad	0.00723763082293165	0.00623447264748392	0.000738494400877406
ctarjeta_visa_trx	0.0071779103013361	0.00222263514232946	0.001024090633711
mcaja_ahorro_ratiomax6	0.00681512879126735	0.00108932876235605	0.00199917362983517
mtarjeta_visa_consumo_min6	0.00679539773549019	0.00190210979075271	0.000730044808190021
mv_mpagospesos	0.00651272371437894	0.00171863977798496	0.000698781315246699
mpasivos_margen	0.00571359571999386	0.0021767001891158	0.00181919730559388
ctarjeta_visa_ratioavg6	0.00569198985813824	0.000785781059897286	0.000108154786398522
cpayroll_trx_ratioavg6	0.0056653486632701	0.0038198588632849	0.000672587577915807
mv_status04	0.00548431370505663	0.000634310069866421	0.000269542006727566
ctarjeta_visa_tend6	0.00547593538571748	0.000416321611681774	7.52013749177221e-05
mpasivos_margen_max6	0.00514548360720747	0.00114680846300136	0.00124631492138921
cproductos_ratioavg6	0.0048028614113825	0.00622511957066609	0.00112633070522835
mv_status07	0.00473072003510541	0.000843558444397808	0.000207859980109659
mv_msaldopesos	0.00471269687698916	0.00154550377458626	0.000761308301133344
Visa_msaldopesos	0.00459882292498177	0.00260108712724033	0.00132912092972558
mcaja_ahorro_max6	0.00455790836151751	0.00134709844881632	0.00147783376102355
mv_status06_delta2	0.00449372223359714	0.000913023293251645	0.000218844450603259
Visa_status_max6	0.00436859105130988	0.00107281419366978	0.000412340123144364
mdescubierto_preacordado_tend6_delta1_delta2	0.00411773772690904	0.00136799626235776	0.000389526222888426
mpayroll_ratioavg6	0.00399963648349895	0.00236847945775874	0.000696246437440483
mcuentas_saldo_min6_delta2	0.00386676121693534	0.00151741340511654	0.00142967108270546
mprestamos_personales	0.00385134488713014	0.00247102536733093	0.000743564156489836
mpasivos_margen_max6_lag1	0.00370478939711873	0.000833613736979833	0.00112886558303457
ctarjeta_visa_trx_ratioavg6	0.00364896429071367	0.00245230473640849	0.00125307459553912
mcuenta_corriente	0.00364531188791336	0.00351644591095685	0.00191298778442385
mdescubierto_preacordado	0.00359155082206564	0.000734614505673325	0.000355727852138888
mpayroll_ratiomax6	0.00353857934379202	0.00219346263850581	0.000514580194661716
foto_mes	0.00331542564290758	0.00299189157867934	0.00252896309133418
mdescubierto_preacordado_delta1	0.00300340083318102	0.000763607424751091	0.00017997632424129
mpasivos_margen_avg6	0.00289172023229875	0.00106531007625045	0.00100634648906749
mv_msaldototal	0.00285692644615104	0.00100849293634402	0.000689486763290576
mtarjeta_visa_consumo_ratioavg6	0.00282630398985929	0.00107361038019388	0.00101902087809857
mes	0.00262542070183788	0.00218488842258338	0.00183525153169991
ctrx_quarter_min6_lag1_lag2	0.00252871728091282	0.00144101533865417	0.00114745468694682
ctrx_quarter_lag1_lag2	0.00248626635378816	0.00072076422890726	0.00104521461542946
mcuenta_corriente_min6_delta2	0.00236600409480037	0.000699973110399396	0.000948044299524542
mvr_mpagospesos	0.00236473409873061	0.00113358083806308	0.00117871817989014
cproductos_ratiomax6	0.00234703211897873	0.000717741966797152	0.000666672863034637
cpayroll_trx_lag1	0.00231663765024868	0.00057319307941648	0.000108154786398522
mtarjeta_visa_consumo_ratiomax6	0.0023108039046895	0.000786359830126562	0.000938749747568418
ctrx_quarter_ratioavg6	0.00231043169443248	0.000895237025560776	0.00182426706120631
mcuentas_saldo_ratiomax6	0.00228288348087252	0.00170424458985113	0.0025205134986468
mcuentas_saldo_ratioavg6	0.00225198237881172	0.00215961352131687	0.00285004761345479
mcaja_ahorro_dolares_delta1	0.0022060941672076	0.00395665234738185	0.0011449198091406
mactivos_margen	0.00216865477142577	0.00263651137751319	0.00210817337550243
