Feature	Gain	Cover	Frequency
mdescubierto_preacordado_tend6	0.249375843209516	0.0273586978255083	0.00904431715405487
ctrx_quarter_normalizado	0.0957523141270602	0.0165213749177185	0.00452215857702744
ctrx_quarter_min6	0.0868819182655105	0.0190176222017871	0.00331624962315345
mcuenta_corriente	0.0359836154350069	0.00311676166251639	0.00452215857702744
mtarjeta_visa_consumo	0.0318594929278708	0.00845356107793844	0.00391920410009044
cpayroll_trx	0.0232353690347143	0.0170034991770585	0.00271329514621646
mcaja_ahorro	0.0206030247915146	0.0120139523561432	0.00602954476936991
mprestamos_personales_ratioavg6	0.0178073935303349	0.00605989249835836	0.00271329514621646
ctrx_quarter_lag1	0.0147654115773101	0.00304830942801529	0.000904431715405487
mpayroll_sobre_edad	0.0140241937766034	0.0154465414898954	0.00180886343081097
mprestamos_personales_ratiomax6	0.0100393490563028	0.00543372902597228	0.00331624962315345
mv_msaldototal	0.00982754948235164	0.00129906694651	0.00180886343081097
mpayroll_ratioavg6	0.00963798813886147	0.00780345508586224	0.00271329514621646
mactivos_margen_min6	0.00945297466090859	0.00388529027392707	0.00331624962315345
cpayroll_trx_ratioavg6	0.00828395664496506	0.00777628399484501	0.00150738619234248
mcomisiones_mantenimiento_avg6_delta1	0.00742350357943622	0.00334336316253019	0.00301477238468496
mpasivos_margen	0.00711379944818087	0.00588569821170485	0.00391920410009044
mdescubierto_preacordado_avg6_delta1	0.00646646870225092	0.00616324845149965	0.00422068133855894
mpayroll	0.00608535636694187	0.0114297548757044	0.00120590895387398
ctarjeta_visa_tend6	0.00574589208710774	0.00266080658625652	0.000301477238468496
mprestamos_personales	0.00571025488819729	0.00945308110424821	0.00241181790774797
mdescubierto_preacordado_tend6_delta1_delta2	0.00550727210093957	0.000686562396253611	0.000904431715405487
mprestamos_personales_tend6	0.0052994400238753	0.0125710113573965	0.00361772686162195
mes	0.00525209899271772	0.00229616282667181	0.00391920410009044
mv_status04	0.00518836120703072	0.000503975998271718	0.00150738619234248
mprestamos_personales_min6_lag2	0.00464030404370545	0.00119729085543226	0.000602954476936991
mcuentas_saldo	0.00443284984035307	0.00691908562511772	0.00572806753090142
Visa_status_max6	0.00440098062303873	0.00632870820259311	0.00211034066927947
mcuentas_saldo_avg6_delta1	0.00432531969480763	0.00206232150004569	0.000904431715405487
foto_mes	0.00398213736132771	0.00909352841392792	0.00904431715405487
ccallcenter_trx	0.00341139964238169	0.00103428967408678	0.00120590895387398
mcuentas_saldo_tend6	0.00324369929301446	0.00229191785326024	0.00301477238468496
mv_mpagospesos	0.00312143598477818	0.00206733466326798	0.00120590895387398
ccomisiones_mantenimiento_avg6_delta1	0.00303008635679814	0.000669560761386258	0.000904431715405487
mcuentas_saldo_min6_delta2	0.00295256126819275	0.00326750804225885	0.00271329514621646
mprestamos_personales_avg6_lag2	0.00290376036275605	0.00114184168289226	0.00120590895387398
mprestamos_personales_ratioavg6_delta1	0.0028595734863452	0.000448053954173709	0.000602954476936991
ctarjeta_visa_trx	0.00280625862143137	0.00336570770247255	0.00150738619234248
Master_status_max6	0.0026489293884687	0.0033913804610052	0.00180886343081097
mtarjeta_visa_consumo_min6	0.00257521252498346	0.00215431585341576	0.000904431715405487
mcuenta_corriente_ratioavg6	0.00250591740990115	0.00097245039432415	0.00361772686162195
mcaja_ahorro_dolares_delta1	0.0024936206582695	0.0115298260926975	0.00241181790774797
mactivos_margen	0.00249073412969841	0.00573957727674248	0.00452215857702744
mcuentas_saldo_ratioavg6	0.00247461898101075	0.00243953349717034	0.00542659029243292
mtransferencias_recibidas	0.00246663837851904	0.00476927201622939	0.00180886343081097
mcuentas_saldo_min6_delta1	0.00227571495843133	0.00436436170347685	0.00422068133855894
ctarjeta_visa_trx_ratioavg6	0.00213436798506777	0.00157849780192632	0.00301477238468496
thomebanking	0.00209623133244565	0.00135376967046034	0.00180886343081097
mpasivos_margen_max6	0.00201535081206319	0.00160616169395419	0.00120590895387398
mprestamos_personales_ratiomax6_delta2	0.00198079912006153	0.00197809963320386	0.00180886343081097
Master_mpagominimo	0.00196253722146277	0.00312008988110668	0.00180886343081097
ccaja_ahorro	0.00195814829408137	0.00972758938486331	0.00391920410009044
mv_mpagominimo	0.00193286370174232	0.000414958380418175	0.00150738619234248
mcaja_ahorro_ratioavg6	0.00185013019809197	0.0027430771785084	0.00452215857702744
mrentabilidad_avg6_lag1_lag2	0.00183704162712997	0.00039469193885528	0.00150738619234248
tcallcenter_tend6	0.00165009174834104	0.00156372101868056	0.00120590895387398
cproductos_min6_delta1	0.00157470580000582	0.00331580072953392	0.00180886343081097
ctarjeta_visa_trx_tend6	0.00157194860448283	0.00056417925114973	0.000904431715405487
mcomisiones_mantenimiento	0.00154147584339366	0.00663265590828915	0.00180886343081097
ccaja_ahorro_max6	0.0015183705514461	0.00824981684833027	0.00331624962315345
ccomisiones_mantenimiento_tend6	0.00146534962397967	0.000975568447777551	0.00120590895387398
ccaja_seguridad_lag1	0.00145743392936576	0.00317490312293073	0.00120590895387398
mprestamos_personales_min6	0.00141489525399339	4.41473611266823e-05	0.000301477238468496
mcuenta_corriente_avg6_delta1	0.00138833910727957	0.00173704746826017	0.00211034066927947
mrentabilidad_ratiomax6	0.00135155571056093	0.00190684640472312	0.00452215857702744
cproductos_ratioavg6	0.00134744068226763	0.00480398549918532	0.00180886343081097
mrentabilidad_avg6	0.0013088832915078	0.000313803725909006	0.00120590895387398
mpagomiscuentas	0.00126829512916796	0.00940857138943723	0.00211034066927947
ctarjeta_visa_trx_avg6_delta2	0.00126633477575749	0.000835107477363947	0.00241181790774797
ccaja_ahorro_max6_delta2	0.0012634601069383	0.00744374839522612	0.00120590895387398
