Feature	Gain	Cover	Frequency
mdescubierto_preacordado_tend6	0.138860183636033	0.0115729933316958	0.0017531556802244
ctrx_quarter_min6	0.112453816774186	0.00705320335733132	0.00166549789621318
mcaja_ahorro	0.0650965321941863	0.00803670721536228	0.00227910238429173
ctrx_quarter_normalizado	0.0581471212518514	0.00733813858215449	0.00271739130434783
mprestamos_personales_ratioavg6	0.0260718702194384	0.00585392121469365	0.00236676016830295
mtarjeta_visa_consumo	0.0222009353872449	0.00742544062657822	0.00227910238429173
mcuenta_corriente	0.0208669095776733	0.00328173740605803	0.00289270687237027
mpayroll_sobre_edad	0.0139620059378723	0.0133271894063096	0.00140252454417952
cpayroll_trx	0.0136214411971046	0.00733957566552997	0.00157784011220196
mcuentas_saldo	0.0102471419933014	0.00330950375572123	0.00376928471248247
cpayroll_trx_ratioavg6	0.0102010413708869	0.00676530765444335	0.00140252454417952
mv_status07	0.00985107563725247	0.000482902553309066	0.000350631136044881
ctrx_quarter_lag1	0.00893383448425054	0.00155274300206748	0.00122720897615708
mprestamos_personales_ratiomax6	0.00880706010547009	0.00179491713597544	0.00184081346423562
mv_msaldototal	0.00673420299472122	0.000898213483729154	0.000876577840112202
ctrx_quarter	0.00583087931738856	0.00396438530091815	0.00236676016830295
mcuentas_saldo_min6_delta2	0.00577867292247163	0.00188394417365725	0.00245441795231417
mtarjeta_visa_consumo_min6	0.00574578354841603	0.00201163128182797	0.00113955119214586
mpayroll	0.00562114231797583	0.00344406186098321	0.000438288920056101
mcaja_ahorro_ratioavg6	0.00556329944539279	0.00237898887929583	0.00333099579242637
mpasivos_margen	0.00543489839108973	0.00295771795228936	0.00245441795231417
ctarjeta_visa_trx	0.00538141989802706	0.00221710337905249	0.00113955119214586
mes	0.00514340613510795	0.00236462852620056	0.00341865357643759
ccomisiones_mantenimiento_avg6_delta1	0.00461715744112845	0.000438283919618088	0.000438288920056101
cproductos_ratioavg6_delta1	0.00392159464832846	0.00169577934438635	0.000964235624123422
foto_mes	0.00366089264577013	0.00368572182606442	0.00429523141654979
cproductos_ratioavg6	0.00351577040379075	0.00902679847616759	0.00201612903225806
ctarjeta_visa_tend6	0.00332673177566235	0.000991678155961246	0.00017531556802244
mprestamos_personales_tend6	0.00329075987014959	0.00263578784882506	0.000964235624123422
mprestamos_personales_delta1_delta2	0.00325582221739651	6.27218152600961e-05	0.00017531556802244
mpasivos_margen_max6	0.00291282425182682	0.00134549905687165	0.0013148667601683
ctrx_quarter_ratioavg6	0.00287805312677625	0.00195452894960842	0.00289270687237027
mv_msaldopesos	0.00278560267500201	0.00215270095921	0.00105189340813464
mprestamos_personales	0.00278229290364941	0.00452979283912944	0.00157784011220196
mcuentas_saldo_ratiomax6	0.0027761196868107	0.00242278508946777	0.00455820476858345
mprestamos_personales_min6_lag2	0.0027044126885938	9.37544316428497e-05	0.000262973352033661
mv_status06_delta2	0.00267001515547155	0.00187984315323096	0.000525946704067321
ccaja_ahorro	0.00266665731753421	0.0108551914552169	0.00262973352033661
mprestamos_personales_avg6_lag1_lag2	0.00265454147389952	0.000546041128913145	0.000262973352033661
mtarjeta_visa_consumo_avg6_delta1	0.00260544227585065	0.00105541844472469	0.000876577840112202
mcaja_ahorro_dolares_delta1	0.00260001464484702	0.00568442737213507	0.00157784011220196
mcomisiones_mantenimiento_avg6_delta1	0.00252393296420236	0.0029523352088525	0.00245441795231417
Visa_status_max6	0.00233519342510347	0.00773839681944042	0.0013148667601683
mtransferencias_recibidas	0.00225334759005848	0.00247204295627779	0.0013148667601683
ctarjeta_visa_trx_ratioavg6	0.002203189196063	0.00195003891176045	0.00113955119214586
mcuentas_saldo_avg6_delta1	0.00219552863814388	0.000734532091648497	0.00184081346423562
ctarjeta_visa_trx_avg6_delta2	0.00219380007512692	0.00129576832736365	0.00140252454417952
mcuentas_saldo_min6_delta1	0.00216358984928257	0.00201865209069969	0.00122720897615708
mprestamos_personales_avg6_delta1	0.0020512258862878	0.000841064296796372	0.000788920056100982
Visa_msaldopesos	0.00203170429762372	0.00265255135550146	0.00149018232819074
mpayroll_ratiomax6	0.00180565624136517	0.000330817086243174	0.00017531556802244
