Feature	Gain	Cover	Frequency
mdescubierto_preacordado_tend6	0.260801149486248	0.0333967220971736	0.0108329321136254
ctrx_quarter_normalizado	0.088841016067902	0.0106716350886643	0.00385170919595571
ctrx_quarter_min6	0.0724963087095271	0.0142117017910529	0.00288878189696678
mcuenta_corriente	0.0347100404404271	0.00226438588934645	0.00481463649494463
mprestamos_personales_ratioavg6	0.0316728005171131	0.00569584625384953	0.00216658642272508
mtarjeta_visa_consumo	0.025629756130487	0.00936600261065238	0.0045739046701974
cpayroll_trx	0.0214881956210173	0.0147153299565915	0.00240731824747232
mcaja_ahorro	0.0148847967899516	0.00980548711547095	0.0052961001444391
ctrx_quarter_lag1	0.013939443284555	0.0026766491636073	0.000722195474241695
mpayroll_sobre_edad	0.0120731974112857	0.0146117073541206	0.00168512277323062
mv_msaldototal	0.0106521182156934	0.00165400758879764	0.00168512277323062
mpayroll_ratioavg6	0.00983500637958866	0.00632507901975693	0.00216658642272508
ccomisiones_mantenimiento_avg6_delta1	0.00970133135947018	0.000118415277292145	0.000722195474241695
mpasivos_margen	0.0087679388780461	0.0028408477002102	0.00216658642272508
cpayroll_trx_ratioavg6	0.00868601998053055	0.0090498940314403	0.00144439094848339
mprestamos_personales_ratiomax6	0.00735686055318245	0.00525177972916381	0.00337024554646124
Visa_status_max6	0.0071072860005	0.00321047525652016	0.00144439094848339
mpayroll	0.00710637426347577	0.0103875975702421	0.00168512277323062
mcuentas_saldo	0.00683017605630523	0.00390370854312479	0.00649975926817525
mcuentas_saldo_ratioavg6	0.00647892054546987	0.00240835243026455	0.00601829561868079
mprestamos_personales_tend6	0.00616915394993215	0.0116203640809882	0.00240731824747232
Master_status_max6	0.00571615448161434	0.00181450757191019	0.00120365912373616
ctarjeta_visa_tend6	0.00564967170099207	0.00226041798635098	0.000240731824747232
foto_mes	0.0055155670082787	0.00552152633241413	0.00698122291766972
mprestamos_personales	0.00523260422030699	0.00680888613999848	0.00216658642272508
mdescubierto_preacordado_avg6_delta1	0.00484224449300344	0.00607848108254688	0.00312951372171401
mactivos_margen	0.00429115161324343	0.00307531413570952	0.00505536831969186
mpasivos_margen_max6_lag1	0.00396407870095057	0.00126884703131225	0.00192585459797785
ctarjeta_visa_trx	0.00362114745923062	0.0024610495065868	0.00264805007221955
cproductos_ratiomax6	0.00354311278587188	0.000507308249348516	0.000722195474241695
mdescubierto_preacordado_tend6_delta1_delta2	0.00347876210323829	0.000618203288457633	0.00144439094848339
mes	0.00338758369632542	0.00397437969670889	0.00433317284545017
ccallcenter_trx	0.00292711300068358	0.00162917356442532	0.00144439094848339
mcuenta_corriente_ratioavg6	0.00281786140965936	0.00119569940142105	0.00240731824747232
mcuentas_saldo_min6_delta2	0.00259375537345344	0.00383883840831102	0.00385170919595571
mprestamos_personales_avg6_delta1	0.00248469682047349	0.00189436893060908	0.00168512277323062
mtransferencias_recibidas	0.00246980157227097	0.00585715736375751	0.00168512277323062
mcaja_ahorro_ratioavg6	0.00237793773542491	0.00549474837418484	0.0045739046701974
mv_mpagospesos	0.0023681526213389	0.00144119069695006	0.000962927298988926
cproductos_ratiomax6_delta2	0.00230915395100769	0.00578034196317655	0.00240731824747232
mcuenta_corriente_avg6_delta1	0.00216223396389289	0.0025280036370002	0.00288878189696678
cproductos_ratioavg6	0.00206383675295875	0.0053709753504508	0.00264805007221955
mtarjeta_visa_consumo_min6	0.0020385957470196	0.00185450520385091	0.000962927298988926
mprestamos_personales_ratioavg6_delta2	0.00202322702632017	0.000222516552312051	0.000240731824747232
ccaja_ahorro	0.00193491714871591	0.00935571345955669	0.00288878189696678
mcuentas_saldo_min6_delta1	0.00189240303602236	0.00321977935799711	0.00264805007221955
mcuentas_saldo_tend6	0.0018663640575911	0.00103286454288409	0.000962927298988926
mcomisiones_mantenimiento	0.00185890339990875	0.00597001326726392	0.00240731824747232
ctrx_quarter	0.00183351464983886	0.00598571249556251	0.00385170919595571
mprestamos_personales_min6	0.00182229431329974	0.000128769072269064	0.000722195474241695
mv_mpagominimo	0.0017674388572012	0.00128774767087172	0.00120365912373616
ctarjeta_visa_trx_ratioavg6	0.00168540783618036	0.00358866658795299	0.00240731824747232
mv_fechaalta_delta2	0.00164176225734071	0.00040604207026253	0.000481463649494463
mcaja_ahorro_dolares_delta1	0.00163689847078238	0.00991123065290209	0.00216658642272508
mcomisiones_mantenimiento_avg6_delta1	0.00163017662478856	0.00595524983610314	0.00312951372171401
mtarjeta_visa_debitos_automaticos_avg6_delta2	0.00160894846914763	0.00177623993336238	0.00216658642272508
mcuentas_saldo_avg6_delta1	0.00159527458156042	0.000507565285733404	0.00168512277323062
mpagomiscuentas	0.00156987382555052	0.0111428658957266	0.00192585459797785
cproductos_min6_delta1	0.00153978812878346	0.00199892117365756	0.00120365912373616
ccomisiones_mantenimiento_ratioavg6	0.00147852304577565	0.00222661231474803	0.00312951372171401
ctarjeta_visa_trx_avg6_delta2	0.00146974791546589	0.00294176449450954	0.00144439094848339
mrentabilidad_avg6_lag1_lag2	0.00145827101946865	0.000697184259059775	0.000962927298988926
thomebanking	0.00145357686806183	0.000368967265237403	0.00144439094848339
mactivos_margen_ratioavg6	0.00139861186302545	0.00181079824443964	0.00337024554646124
ccaja_ahorro_max6_delta2	0.00137957334141093	0.008636713429722	0.00120365912373616
mactivos_margen_min6	0.00136079019300219	0.00287698362981747	0.00288878189696678
mcuenta_corriente_min6_lag2	0.00129410564818344	0.00168621871133026	0.00361097737120847
ctarjeta_visa_trx_ratiomax6	0.00125218259944895	0.00161229073744422	0.00168512277323062
mcomisiones_mantenimiento_ratioavg6	0.00124759568898608	0.00237844078293566	0.00264805007221955
thomebanking_avg6	0.00122188555809822	0.00267020016688464	0.00264805007221955
mtransferencias_emitidas_avg6	0.00122145717998453	0.0026211785569523	0.00240731824747232
Visa_Finiciomora	0.00119126257938765	0.00196596818563083	0.000962927298988926
ctrx_quarter_avg6_lag1_delta2	0.0011858292856078	0.000323102431505098	0.00120365912373616
ccaja_seguridad	0.0011804714086871	0.00145914938281162	0.000722195474241695
ccaja_ahorro_max6	0.00117008373652325	0.00652146713093204	0.00192585459797785
mrentabilidad_max6	0.00114352612856709	0.00114533258310313	0.00168512277323062
ctarjeta_visa_trx_avg6_delta1	0.00113436303935975	0.00215301987338837	0.00144439094848339
mv_Finiciomora	0.00109270262262909	0.0111972252432805	0.00168512277323062
Visa_mpagominimo_max6_delta1	0.00108635049030536	0.00415085287504524	0.00144439094848339
ctrx_quarter_ratiomax6	0.00108397733091221	0.000693019346140563	0.00264805007221955
mcuenta_corriente_ratiomax6_lag1	0.00108035596961193	0.000411033501377463	0.00168512277323062
mcuenta_corriente_min6_lag1_lag2	0.0010451719639315	0.000383452112052891	0.00120365912373616
mrentabilidad_annual_ratiomax6_lag1	0.00102857393392634	0.000248598819248111	0.00168512277323062
cliente_edad_max6_lag1_lag2	0.00102715551760335	0.00174214952085401	0.00288878189696678
cproductos_avg6_delta1	0.000951833654341284	0.00413332976581196	0.00120365912373616
mv_status07	0.000940473543154601	0.00166160786226219	0.000722195474241695
mcomisiones_max6	0.000936424891627339	0.0021946690025805	0.00337024554646124
ccallcenter_trx_tend6	0.000934684506958254	0.00342734778234486	0.00264805007221955
mcomisiones_otras_ratioavg6	0.000931361063071014	0.000495306035400245	0.00264805007221955
ccaja_ahorro_tend6_delta1	0.000931181151375448	0.00788671665883778	0.00144439094848339
mpayroll_min6_lag1_lag2	0.000918266596442749	0.00304409114107569	0.00120365912373616
mpayroll_min6_lag2	0.000890744394723636	0.00262810468708403	0.000962927298988926
mvr_mpagominimo	0.000888986601201608	0.00577037449234698	0.00264805007221955
