Feature	Gain	Cover	Frequency
ctrx_quarter_min6	0.0641469508311264	0.00461808959894071	0.0012054533696659
mcaja_ahorro	0.048534624906082	0.00354959693487541	0.00176699505106742
ctrx_quarter_normalizado	0.0346586272006658	0.00405609472967533	0.00173175019236169
ctrx_quarter	0.027842585232217	0.00275535764965354	0.00162403556800258
mdescubierto_preacordado_avg6_delta1	0.0211550069636704	0.000486232845624044	0.000186520544386543
mdescubierto_preacordado_tend6	0.0159907916133947	0.000493374833260591	0.000183352467199511
mtarjeta_visa_consumo	0.0133086976978258	0.00358358833307208	0.00125495457571328
ctrx_quarter_lag1	0.0118633168919889	0.00120011374312106	0.00120664139861104
cpayroll_trx	0.0117407168894602	0.00397974020297354	0.000567877835775591
mprestamos_personales_ratiomax6	0.0115565770597142	0.00192676868569819	0.00106011782871078
mcuentas_saldo	0.0111158012192391	0.00289204715911923	0.00266197685640413
mcaja_ahorro_lag1	0.0103381231054441	0.000945706594107608	0.000921514451778103
mprestamos_personales_ratioavg6	0.00932463551324422	0.00350802052454519	0.00107714624359108
ctarjeta_visa_ratioavg6	0.00853433637954742	0.00078112275230081	0.000129495155019957
mpayroll_sobre_edad	0.00780230057324448	0.00542379817974399	0.000746478187194553
mpayroll	0.00738456274723585	0.00440472297877851	0.000588470337491303
mcaja_ahorro_ratiomax6	0.00699240213407704	0.00115932096854503	0.00211785959953128
cproductos_ratioavg6	0.00687700508038322	0.00644626205763261	0.00129297150195767
mpasivos_margen_max6	0.00647532669472664	0.00114093573076889	0.001214957601227
mcaja_ahorro_ratioavg6	0.0064265036091124	0.00196333528813567	0.00245367578135674
mtarjeta_visa_consumo_min6	0.00603829523150647	0.00130201775800031	0.000656583997012503
mpasivos_margen	0.00575583981233169	0.00180493220480553	0.00179431971680558
Visa_status_max6	0.00550407361501163	0.000891025969234459	0.000429670468491294
cpayroll_trx_ratioavg6	0.00533667098893354	0.00321544048145568	0.000778158959064879
mcuenta_corriente_avg6_delta1	0.00510680802235812	0.000554867785019942	0.00103833729804993
ctarjeta_visa_trx	0.00509308023027425	0.00166333782917629	0.00101180465160853
mdescubierto_preacordado	0.00498833239573421	0.000648720049731271	0.000377001185256878
mv_msaldopesos	0.00489116821626328	0.00126894685805216	0.00065816803560602
mv_mpagospesos	0.00476337742715358	0.00137249863028826	0.000674404431189562
mv_status06_delta2	0.00445562329150436	0.000923321274853607	0.000230873625005
mcuenta_corriente	0.00436538994910119	0.00338068704748432	0.00207390252856121
mpasivos_margen_max6_lag1	0.00435836792990513	0.000677686563305018	0.00103437720156614
mv_status07	0.00431505344811273	0.000560352568320748	0.000201172901376569
mcuentas_saldo_min6_delta2	0.00390724884960919	0.0013197965954451	0.00145058334201255
mv_status04	0.00385472958492576	0.000400158813345237	0.000226913528521209
Visa_msaldopesos	0.00382195074576359	0.00191914244524552	0.00126089472043897
mv_msaldototal	0.00379967688629523	0.000842319776598614	0.000588470337491303
foto_mes	0.00361852728360406	0.00294243440528483	0.00264890853800762
ctarjeta_visa_trx_ratioavg6	0.00355363754435501	0.00193799512948524	0.00117654466533423
mprestamos_personales	0.0033789341621182	0.00287184269020309	0.000793603335351663
mdescubierto_preacordado_tend6_delta1_delta2	0.00311620475711604	0.000956421668820016	0.000378189214202015
mpayroll_ratioavg6	0.00306977351174925	0.00175830554205747	0.00069658097149879
mpayroll_ratiomax6	0.00300131046025674	0.00130201540661825	0.000481547732428953
cproductos_ratiomax6	0.00293561838903443	0.000435503484673309	0.000575006009446414
mtarjeta_visa_consumo_ratioavg6	0.00271644619525031	0.00099182770594434	0.00097418373501252
mcuenta_corriente_ratioavg6	0.00267601169070909	0.00091502566677112	0.00231824048161109
mes	0.00266436685954881	0.00207270407059469	0.0018620373666784
mcuentas_saldo_ratioavg6	0.00257319861930614	0.00304214954347398	0.00314669266602012
mtarjeta_visa_consumo_avg6_delta1	0.0024882522046771	0.0034087466473165	0.00091874238423945
mcaja_ahorro_dolares_delta1	0.00238993639897704	0.00340253074246086	0.00116585240482799
ctarjeta_visa_tend6	0.00237499825701759	0.000265621704001774	5.90054376084819e-05
ccomisiones_mantenimiento_avg6_delta1	0.00221237046256719	0.000519649817009843	0.000339380268660866
mcuentas_saldo_ratiomax6	0.00217289998377355	0.00147213391192512	0.00251584929615225
ccaja_ahorro	0.00214647584258973	0.00480062967941772	0.000980915899034964
mpasivos_margen_avg6	0.002144641364522	0.00136176788346369	0.000985272005167134
mactivos_margen	0.00212221868155948	0.00264592305110626	0.00221686201162605
mcomisiones_mantenimiento_avg6_delta1	0.00199624229619296	0.00204926123610001	0.00135593703604995
ctrx_quarter_ratioavg6	0.00196897290484025	0.000859597536033519	0.00195193155686045
ctrx_quarter_lag1_lag2	0.00196610446561407	0.000655982881071841	0.00111595518913223
mcaja_ahorro_max6	0.0019493442403476	0.00103214244530103	0.00137098540268835
ctrx_quarter_ratiomax6	0.00191437902547221	0.000895426520469565	0.00175075865548388
mtransferencias_recibidas	0.00190069928846811	0.00174967865288123	0.000984479985870376
ctrx_quarter_min6_lag1_lag2	0.00184988721213664	0.00125162905352565	0.00114565591276066
mprestamos_personales_ratiomax6_delta2	0.00183906339621239	0.000543846001909967	0.000479171674538678
ctarjeta_visa_trx_ratiomax6	0.00174736040506676	0.000980548348524446	0.00100348844899257
mdescubierto_preacordado_delta1	0.00174438222298222	0.000736049045515547	0.000195628766299262
ctarjeta_visa_trx_avg6_delta2	0.00170841870294685	0.000724916852959444	0.000868845168543686
ccomisiones_mantenimiento_ratioavg6	0.00170501548013079	0.00107175997349899	0.00109417465847138
mcuenta_corriente_min6_delta2	0.00169147481336706	0.000648469473043927	0.000859736946630968
mprestamos_personales_avg6_delta1	0.00160979745865774	0.0011624365761534	0.000517980620079828
mprestamos_personales_min6	0.00157923128697371	0.000510209391091183	0.000281562859997521
mdescubierto_preacordado_min6_delta1_delta2	0.00154109261685427	0.000666323682834836	0.000193648718057367
tcallcenter_tend6	0.00150931388105046	0.00490188892197278	0.00122327380384296
ccaja_ahorro_max6	0.00150370365178028	0.00210062342782084	0.000790039248516251
mvr_msaldototal	0.0014948534331602	0.000799819706466119	0.00101061662266339
Visa_status_tend6_delta1	0.00145483845539856	0.000176677282363985	0.000189292611925197
mcuentas_saldo_avg6_delta1	0.00145116337712868	0.000942328818704179	0.00128425928969333
mactivos_margen_min6	0.00144658332451124	0.00145636697575618	0.00184976106757865
cproductos_ratiomax6_delta2	0.00144044450647525	0.00120837792784617	0.000607874810261877
cprestamos_personales_ratioavg6	0.00143032608860227	0.00222911579332784	0.000731429820556148
mpagomiscuentas	0.00142462706713891	0.00385248925037923	0.000735389917039939
