Feature	Gain	Cover	Frequency
ctrx_quarter	0.0802716083881396	0.016266934033092	0.0221015171380408
mpasivos_margen	0.0670986730019967	0.0190243519357461	0.0280951489042892
cpayroll_trx	0.053971531424021	0.0156147829172662	0.00355871886120996
mcaja_ahorro	0.0534611996119927	0.0202367703490476	0.0313729162764563
Visa_msaldototal	0.0430265247274925	0.0154582633310315	0.0187300992695261
mcuentas_saldo	0.0320899141151807	0.0330540652434381	0.0341824311668852
mtarjeta_visa_consumo	0.031093344690818	0.0148652633450565	0.0223824686270837
ctarjeta_visa_trx	0.0305342276195255	0.0183817828051906	0.0175126428170069
mpayroll	0.0291654028465033	0.0271197560252332	0.00852219516763439
mprestamos_personales	0.0280242338737019	0.0160393630351556	0.0070237872260723
mactivos_margen	0.0278581618338932	0.0232400152590926	0.0235999250796029
mrentabilidad_annual	0.0275941914740074	0.0266361446099206	0.0290316538677655
cliente_edad	0.0221303053303776	0.0240007161185875	0.0297808578385465
Visa_fechaalta	0.0177745059732138	0.0169073553978294	0.0246300805394269
Master_mfinanciacion_limite	0.0171040114712646	0.0118178094870973	0.0196666042330024
Master_Fvencimiento	0.0168777463015704	0.0185138519672505	0.0285634013860274
Master_fechaalta	0.0163837880772185	0.0210282543156232	0.0257538864955984
Visa_msaldopesos	0.0159182194437498	0.0163290210574197	0.0205094587001311
Visa_Fvencimiento	0.0155544800363824	0.0124608302937262	0.02331897359056
mcomisiones	0.015513514127374	0.012114095164397	0.0202285072110882
chomebanking_trx	0.0150283771062586	0.0126745698641512	0.0196666042330024
mcuenta_corriente	0.0148934547794344	0.0125527417657136	0.0132983704813636
mcomisiones_otras	0.0123719980100102	0.0106527156648282	0.0156396328900543
mrentabilidad	0.0121240826597096	0.0185028873001229	0.0186364487731785
Visa_mconsumospesos	0.0114365800739459	0.0124513957945206	0.0210713616782169
numero_de_cliente	0.0112296919290623	0.00972781672585167	0.0170443903352688
Visa_mlimitecompra	0.0108650342287876	0.0128858943502656	0.017231691327964
cliente_antiguedad	0.0108593829003974	0.0120955119202363	0.0180745457950927
Visa_mpagominimo	0.0103226224806493	0.0128503179460799	0.0199475557220453
Visa_mfinanciacion_limite	0.0100707052679155	0.0129785939509116	0.0162951863644877
ctarjeta_debito_trx	0.00998178531051442	0.0105737414860846	0.0162015358681401
mcaja_ahorro_dolares	0.00989151421106049	0.0184117178673989	0.0171380408316164
mtransferencias_recibidas	0.00896696317106191	0.00927685042918744	0.0169507398389211
