Feature	Gain	Cover	Frequency
mcaja_ahorro	0.0683972398299299	0.00390521613444622	0.00199424467982752
ctrx_quarter_normalizado	0.0492616715699427	0.00263979288395093	0.00126826964287276
mcaja_ahorro_tony	0.04883629240653	0.00470352676715691	0.00162688381775403
ctrx_quarter_tony	0.0278310374016799	0.006687766212036	0.00186304437194413
mdescubierto_preacordado_tony_delta6	0.0228291303747818	0.0014252401069754	0.000935895529568176
mv_msaldopesos	0.0211719325614637	0.00513008820144684	0.00111082927341269
mv_msaldototal	0.0182763866770159	0.00265024595925271	0.00104960246306711
cpayroll_trx	0.0168446811601741	0.00520707493533395	0.000769708472915883
ctrx_quarter	0.015953981301928	0.00103607119224001	0.00092714884237595
mdescubierto_preacordado_tony_tend9	0.0106064046108324	0.000374285606924743	0.00064725485222472
Visa_msaldopesos	0.0097101382590368	0.00302455168049673	0.00104960246306711
mpayroll2_r_delta6	0.0091809063771478	0.00144951680189308	0.000743468411339205
mcuentas_saldo	0.00826461813113233	0.0013875163095929	0.00200299136701974
mpayroll_sobre_edad	0.00788866397684711	0.00436988790463875	0.000664748226609172
mpayroll_r	0.00734179812559221	0.00159361442522221	0.00104085577587489
ccomisiones_mantenimiento_tony_ratioavg9	0.00728523631186551	0.00222933142325429	0.00279019321432008
mprestamos_personales_ratiomax9	0.00697977315843093	0.00198002853718977	0.000900908780799272
Visa_msaldototal_tony	0.00670984371362091	0.00225216654423559	0.000944642216760402
mprestamos_personales_tony_ratioavg9	0.00657057238822154	0.00170100778230622	0.00069098828818585
mprestamos_personales_ratioavg9	0.00653384338515221	0.00391007120142116	0.00129450970444944
mvr_msaldototal	0.00640590865593853	0.00104920133311836	0.00116330939656605
Visa_mpagosdolares_r_delta6	0.00612319692934372	0.000215438890548888	0.00032362742611236
mdescubierto_preacordado_tony_ratioavg9	0.00592311087475909	0.000634813786356759	0.000673494913801398
cprestamos_personales_ratioavg9	0.00571044867922208	0.000134366587666671	0.000192427118228971
mpayroll	0.00552156329317422	0.00262425231749368	0.000559787980302461
mpayroll_tony	0.00502380484548901	0.00634178560405809	0.000857175344838143
ctarjeta_visa_tony_ratiomax9	0.00488765271014919	0.000440384839162199	0.000244907241382326
mtarjeta_visa_consumo_tony	0.00470054876567795	0.00103866221720525	0.000874668719222595
mcuenta_corriente_r_delta6	0.00450472606264963	0.00117050048504439	0.00130325639164167
mv_mconsumospesos	0.00442447724276334	0.00153368241507305	0.000717228349762528
invers_x_prod	0.00388848907341025	0.000590154700530267	0.00144320338671728
cproductos_ratioavg9	0.00387124173537831	0.00182206742351221	0.00104085577587489
cproductos_tony_ratioavg9	0.00381676221559738	0.0035008961981844	0.00174059075125296
mtransferencias_recibidas_tony	0.00351456775301062	0.00258546396439432	0.00159189706898512
ccomisiones_mantenimiento_ratioavg9	0.00347558473737338	0.000893477490078922	0.00130325639164167
mcuenta_corriente_delta6	0.00343136862660251	0.00101860609343989	0.00104960246306711
cpayroll_trx_tony	0.0028975825038109	0.00166988463122298	0.000358614174881264
invers_x_visa	0.00286355689317039	0.00124078192090698	0.00175808412563741
ccaja_ahorro_tony	0.00277033030785973	0.0032875765408626	0.00210795161332645
cproductos_tony_ratiomax9	0.00276173795718168	0.0006977140544343	0.00109333589902824
mcuentas_saldo_tony	0.0026609469614477	0.00125188817472653	0.00123328289410386
cproductos_tony_delta6	0.00264927254046161	0.00064413365956376	0.00104960246306711
mdescubierto_preacordado_tony_ratioavg9_delta6	0.00241514597867954	0.000401447740313803	0.000656001539416946
inter_x_prod	0.00229449127622582	0.000931765275794747	0.00226539198278652
mcuentas_saldo_ratioavg9	0.00219573318000926	0.00204706290632106	0.00322752757393137
mcuentas_saldo_ratiomax9	0.00217422158297666	0.00111235256490914	0.00226539198278652
mprestamos_personales_r_delta6	0.00212154076450348	0.000781771937897092	0.000393600923650168
mprestamos_personales_lag6	0.00211100501270606	0.000902203883495146	0.00060352141626359
mpagomiscuentas_tony	0.00209535333071158	0.00454943669359579	0.00119829614533495
cliente_edad_lag6	0.00208559805356072	0.0034311186940221	0.00372608874388825
ctrx_quarter_tony_tend9	0.00205234509531944	0.00106352723806677	0.0020554714901731
cliente_edad	0.00202123551405197	0.0048578622926783	0.00397099598527058
mv_status01	0.00201944968113716	0.000591892191178144	0.000314880738920134
mprestamos_personales_r	0.00198315921318545	0.00132377302963549	0.00192427118228971
mcomisiones_mantenimiento	0.0019797278658509	0.00381576840080779	0.00139072326356393
mdescubierto_preacordado	0.00195557241217985	0.000188302597975708	0.000148693682267841
mprestamos_personales_tony	0.00191660822043619	0.00309742507188026	0.00101461571429821
mdescubierto_preacordado_tony_ratiomax9_delta6	0.001862381812043	0.000951740942282962	0.000734721724146979
cliente_edad_tony	0.00183454924940246	0.00259722468519338	0.00373483543108048
mcuenta_corriente	0.0018213631534839	0.00170610815807902	0.00215168504928758
mcuenta_corriente_ratioavg9	0.00180089201096958	0.00163353769836533	0.00328000769708473
mprestamos_personales	0.00179247175876872	0.00258972576632211	0.00088341540641482
ccomisiones_mantenimiento_tony_delta6	0.00176035364732704	0.0012717496691889	0.00107584252464379
ctrx_quarter_tend9_lag6	0.00175677907494238	0.00124672158633686	0.00196800461825084
mv_mpagospesos	0.00169505918294932	0.000432088219315367	0.000594774729071364
cprestamos_personales_tony_ratioavg9	0.0016884832520156	0.000310341183774463	0.000183680431036745
Master_status_tony	0.00167288336541941	0.00237364493550502	0.000463574421187975
mcomisiones_mantenimiento_tony	0.00166917717135798	0.00312412471908813	0.00209920492613423
thomebanking_tony_ratiomax9	0.0016013905856769	0.00169291810373006	0.00178432418721409
mcuenta_corriente_tend9	0.00159934163662275	0.00168138400903372	0.00208171155174977
mcaja_ahorro_dolares	0.00158719896859978	0.00251782924367635	0.00136448320198725
mcuentas_saldo_r	0.00158255951754791	0.00115223947479888	0.00130325639164167
mcuenta_corriente_tony_tend9	0.00158219550682584	0.00347084683679377	0.00218667179805649
tcallcenter_tony_tend9	0.00157765398251794	0.00175784003984897	0.00121578951971941
chomebanking_trx_tony	0.00156841389678802	0.00249544651592598	0.00187179105913635
mactivos_margen	0.00155278098958129	0.00151396501358123	0.00190677780790526
mcaja_ahorro_dolares_ratioavg9	0.00152843964462671	0.0037771185573448	0.00237909891628546
mtarjeta_visa_consumo	0.0015119642927565	0.000774927843911369	0.00064725485222472
mv_fultimo_cierre	0.00145525271357052	0.000522769941388628	0.00092714884237595
ctrx_quarter_tony_tend9_lag6	0.00144933076837342	0.00118987887793783	0.00168811062809961
mrentabilidad_annual_tony_lag6	0.00141343990478671	0.00133454986673846	0.00269397965520559
cproductos_tony_tend9	0.00141285929596506	0.00101687389980136	0.00221291185963316
mprestamos_personales_tony_ratiomax9	0.00140952176027726	0.000941063245152276	0.000411094298034619
mactivos_margen_tony	0.00139757810283186	0.00112568936073332	0.00155691032021622
mcuenta_corriente_tony_ratioavg9	0.00138405915235005	0.00170986638621257	0.0030001137069335
mcaja_ahorro_dolares_tony_ratioavg9_lag6	0.00136415423727197	0.00208610809279267	0.00203797811578864
cprestamos_personales_tony_delta6	0.00136177302917691	0.000105432032000509	0.000174933743844519
mcuentas_saldo_tend9	0.00135232062681898	0.00071175291874093	0.00143445669952506
cliente_edad_tony_lag6	0.00135038832344182	0.0016349898663204	0.00265024621924446
mcuenta_debitos_automaticos_tony	0.00135020636556707	0.00219134019848083	0.000944642216760402
mcuenta_corriente_tony	0.00134247200183384	0.00138219324468379	0.00189803112071303
mrentabilidad_annual_tony_tend9	0.00134044406806361	0.00166606713384969	0.00226539198278652
thomebanking_tony_ratioavg9	0.0013315168652198	0.000601247210757992	0.00149568350987064
ccaja_ahorro	0.00129320845704346	0.000942736670619506	0.000673494913801398
mactivos_margen_tony_ratioavg9	0.00128647334676618	0.000918073866668968	0.00219541848524871
mcuentas_saldo_r_delta6	0.00127783523109085	0.000550398497925284	0.00125077626848831
mcaja_ahorro_dolares_tony_ratiomax9	0.00127574819186017	0.00131401708371284	0.00143445669952506
cmobile_app_trx_tony_tend9	0.00127549337119524	0.0011409700158264	0.00291264683501124
Visa_msaldopesos_tony_ratioavg9	0.00127486263478884	0.00201114130899794	0.00160064375617735
tcallcenter_ratioavg9	0.00127138931445673	0.00067108885168215	0.000822188596069239
mv_mpagominimo	0.0012703247174524	0.000582314983530442	0.000612268103455816
mcuentas_saldo_tony_ratiomax9	0.00126843385112984	0.000688931541351453	0.00186304437194413
mactivos_margen_ratiomax9_lag6	0.00125471900733241	0.00119854628843914	0.00180181756159854
Master_fultimo_cierre	0.00123299869357957	0.00022562231944229	0.000612268103455816
mpasivos_margen_tony	0.0012200754037877	0.000406570664166942	0.000787201847300335
mdescubierto_preacordado_ratiomax9_delta6	0.00118201680960845	0.000214937249447239	6.99734975378076e-05
ctarjeta_visa_trx_tony_ratiomax9	0.00117389867276208	0.00141906995005761	0.00116330939656605
mcomisiones_otras_ratiomax9	0.0011663409233421	0.000738958716666522	0.00133824314041057
mcomisiones_mantenimiento_tend9_lag6	0.00115714168065301	0.0014337619213008	0.00194176455667416
mtransferencias_recibidas	0.00115601795603167	0.000860996443490787	0.00135573651479502
mcuenta_corriente_ratiomax9	0.00114977402889633	0.00100407059871613	0.0025627793473222
mcaja_ahorro_ratioavg9	0.00113438768227646	0.00078025520369292	0.00176683081282964
cproductos_tony	0.00113038637475813	0.00183835587042465	0.00196800461825084
mtransferencias_recibidas_tend9	0.00112056330692161	0.00267805540150053	0.00264149953205224
mprestamos_personales_tony_lag6	0.0011022129882976	0.000267082011621622	0.00036736086207349
mrentabilidad_annual_ratioavg9	0.00109370019818116	0.00088495803793337	0.00230037873155542
tcallcenter_tony	0.00109278437449287	0.000417856372073513	0.00032362742611236
mprestamos_personales_tony_ratiomax9_lag6	0.00108587734692573	0.000642582494798816	0.000489814482764653
mcomisiones_otras_tony_tend9	0.00107570502943918	0.00132401461621055	0.00208171155174977
ctarjeta_visa_trx_tony_ratioavg9	0.00106484021030064	0.000710759514744258	0.000830935283261465
chomebanking_trx_tend9	0.00106461683951185	0.00149802831672209	0.00248405916259217
ctrx_quarter_ratiomax9_lag6	0.00105235094907699	0.000671228005549388	0.00148693682267841
Master_mlimitecompra_tony_ratioavg9	0.0010512842922592	0.000742952590134914	0.000673494913801398
Visa_Fvencimiento_tony_ratiomax9	0.00104389005315522	0.000502778025966327	0.00124202958129608
cprestamos_personales_riesgo_delta6	0.00104295302587708	0.00014515323139506	8.74668719222595e-05
chomebanking_trx_tony_tend9	0.00103755406096927	0.00103416333831846	0.0025627793473222
antig_edad_delta6	0.00103678191482639	0.00136488097176152	0.00230037873155542
Visa_Fvencimiento_ratioavg9_delta6	0.00103129346852184	0.000745147914185494	0.00218667179805649
ctarjeta_visa_trx_tony	0.00103123062572741	0.000913554730300476	0.000997122339913758
chomebanking_trx_tony_tend9_delta6	0.00102832297535817	0.000790409069547655	0.00242283235224659
Visa_fechaalta	0.0010266592387422	0.00101211790121749	0.00179307087440632
cpayroll_trx_tony_ratioavg9	0.00102448887018426	0.00173420056083981	0.000542294605918009
cliente_edad_tony_tend9	0.00102331721738914	0.0008133448337066	0.00251904591136107
mactivos_margen_tony_ratiomax9	0.00101623479366552	0.000533289801956937	0.00184555099755967
mcuenta_debitos_automaticos_r	0.00101215601048786	0.00098560486621738	0.00203797811578864
invers_x_tarje	0.0010100160291268	0.000571322686993114	0.0011808027709505
mrentabilidad_annual_tend9_lag6	0.00100664280485183	0.000812323656201446	0.00207296486455755
Visa_mfinanciacion_limite_tony	0.000999296047617286	0.00115315965122036	0.00202923142859642
ctarjeta_visa_debitos_automaticos_ratioavg9	0.000999209789008108	0.000826260732031115	0.00106709583745157
Visa_mpagominimo_tony_tend9	0.000992062924392636	0.00280212417350433	0.00157440369460067
mcomisiones_otras_tend9	0.000989420820054949	0.0008115762768147	0.00227413866997875
cliente_antiguedad_tony_ratioavg9_delta6	0.00098629012204321	0.000944209740287147	0.00163563050494625
tcallcenter_tony_ratioavg9	0.000979665104300856	0.000459685351701962	0.000734721724146979
mprestamos_personales_r_lag6	0.000978948596027977	0.00089141881455332	0.00190677780790526
ctarjeta_visa_debitos_automaticos_tony_delta6	0.000977048009558127	0.000845847855725415	0.000900908780799272
mcuenta_corriente_ratioavg9_lag6	0.00097621348888115	0.000701790246291234	0.00228288535717097
mcaja_ahorro_tony_ratioavg9	0.000975198017660061	0.000869469009945475	0.00172309737686851
mprestamos_personales_ratioavg9_lag6	0.000971338307997627	0.000892331474948015	0.000533547918725783
mv_status06_delta6	0.000970663231915975	0.000331232015999632	5.24801231533557e-05
Visa_cconsumos_tony_ratioavg9	0.000967940692088426	0.000790712287542316	0.00107584252464379
mactivos_margen_ratioavg9	0.000967189940263558	0.000615505328302971	0.00206421817736532
ctrx_quarter_ratioavg9_lag6	0.000956193380583794	0.000497746940802317	0.00142571001233283
Visa_mpagominimo_tend9_lag6	0.000949444160001666	0.000816615021167905	0.00128576301725721
mcuentas_saldo_riesgo_ratioavg9	0.000948599296243145	0.0034605316268975	0.00115456270937382
mcomisiones_mantenimiento_tony_tend9	0.000947552728398551	0.00122113302263067	0.00202048474140419
mcomisiones_otras_tony_lag6	0.000942217767266693	0.000774859054371032	0.00171435068967629
Visa_mpagominimo_tend9	0.000938691449670998	0.00155304420112637	0.0013819765763717
