cp	min_split	minbucket	max_depth	ganancia_promedio
-1	500	450	8	10102667
-1	500	450	9	10102667
-1	500	450	10	10102667
-1	500	500	2	7959333
-1	500	500	3	9010000
-1	500	500	4	9964667
-1	500	500	5	10599333
-1	500	500	6	10790000
-1	500	500	7	10376000
-1	500	500	8	10376000
-1	500	500	9	10376000
-1	500	500	10	10376000
-1	600	0	2	7959333
-1	600	0	3	8798667
-1	600	0	4	8459333
-1	600	0	5	8503333
-1	600	0	6	8932000
-1	600	0	7	8768667
-1	600	0	8	8825333
-1	600	0	9	9019333
-1	600	0	10	9871333
-1	600	50	2	7959333
-1	600	50	3	9152667
-1	600	50	4	9287333
-1	600	50	5	9582000
-1	600	50	6	9854667
-1	600	50	7	9597333
-1	600	50	8	8960667
-1	600	50	9	8142667
-1	600	50	10	7997333
-1	600	100	2	7959333
-1	600	100	3	9152667
-1	600	100	4	9334000
-1	600	100	5	9588000
-1	600	100	6	10184667
-1	600	100	7	9244667
-1	600	100	8	8721333
-1	600	100	9	8534000
-1	600	100	10	8533333
-1	600	150	2	7959333
-1	600	150	3	9122000
-1	600	150	4	9692000
-1	600	150	5	9491333
-1	600	150	6	10198667
-1	600	150	7	9656000
-1	600	150	8	9204667
-1	600	150	9	9312000
-1	600	150	10	8990000
-1	600	200	2	7959333
-1	600	200	3	9152000
-1	600	200	4	9763333
-1	600	200	5	9794667
-1	600	200	6	10300667
-1	600	200	7	9944000
-1	600	200	8	9608000
-1	600	200	9	9248000
-1	600	200	10	9185333
-1	600	250	2	7959333
-1	600	250	3	9152000
-1	600	250	4	9864667
-1	600	250	5	10033333
-1	600	250	6	10306667
-1	600	250	7	9832667
-1	600	250	8	9348000
-1	600	250	9	9280000
-1	600	250	10	9355333
-1	600	300	2	7959333
-1	600	300	3	9151333
-1	600	300	4	9786667
-1	600	300	5	10121333
-1	600	300	6	10174667
-1	600	300	7	10210000
-1	600	300	8	10034000
-1	600	300	9	9966667
-1	600	300	10	9966667
-1	600	350	2	7959333
-1	600	350	3	9151333
-1	600	350	4	9752000
-1	600	350	5	9643333
-1	600	350	6	9999333
-1	600	350	7	9796667
-1	600	350	8	9670667
-1	600	350	9	9654667
-1	600	350	10	9565333
-1	600	400	2	7959333
-1	600	400	3	9010000
-1	600	400	4	9862667
-1	600	400	5	10292667
-1	600	400	6	10456000
-1	600	400	7	10142667
-1	600	400	8	10012667
-1	600	400	9	10012667
-1	600	400	10	10012667
-1	600	450	2	7959333
-1	600	450	3	9010000
-1	600	450	4	9874667
-1	600	450	5	10456000
-1	600	450	6	10401333
-1	600	450	7	10102667
-1	600	450	8	10102667
-1	600	450	9	10102667
-1	600	450	10	10102667
-1	600	500	2	7959333
-1	600	500	3	9010000
-1	600	500	4	9964667
-1	600	500	5	10599333
-1	600	500	6	10790000
-1	600	500	7	10376000
-1	600	500	8	10376000
-1	600	500	9	10376000
-1	600	500	10	10376000
-1	700	0	2	7959333
-1	700	0	3	8798667
-1	700	0	4	8459333
-1	700	0	5	8503333
-1	700	0	6	8932000
-1	700	0	7	8770000
-1	700	0	8	8846667
-1	700	0	9	9044000
-1	700	0	10	9896000
-1	700	50	2	7959333
-1	700	50	3	9152667
-1	700	50	4	9314667
-1	700	50	5	9609333
-1	700	50	6	9897333
-1	700	50	7	9594667
-1	700	50	8	9050667
-1	700	50	9	7978667
-1	700	50	10	7797333
-1	700	100	2	7959333
-1	700	100	3	9152667
-1	700	100	4	9361333
-1	700	100	5	9615333
-1	700	100	6	10212000
-1	700	100	7	9630667
-1	700	100	8	9154000
-1	700	100	9	9009333
-1	700	100	10	9021333
-1	700	150	2	7959333
-1	700	150	3	9122000
-1	700	150	4	9730000
-1	700	150	5	9529333
-1	700	150	6	10328667
-1	700	150	7	10159333
-1	700	150	8	9708000
-1	700	150	9	9906000
-1	700	150	10	9626000
-1	700	200	2	7959333
-1	700	200	3	9152000
-1	700	200	4	9768667
-1	700	200	5	9800000
-1	700	200	6	10398000
-1	700	200	7	10262000
-1	700	200	8	9984000
-1	700	200	9	9668667
-1	700	200	10	9646667
-1	700	250	2	7959333
-1	700	250	3	9152000
-1	700	250	4	9864667
-1	700	250	5	10033333
-1	700	250	6	10398667
-1	700	250	7	10150000
-1	700	250	8	9770000
-1	700	250	9	9770000
-1	700	250	10	9770000
-1	700	300	2	7959333
-1	700	300	3	9151333
-1	700	300	4	9786667
-1	700	300	5	10121333
-1	700	300	6	10174667
-1	700	300	7	10074667
-1	700	300	8	9934000
-1	700	300	9	9844000
-1	700	300	10	9844000
-1	700	350	2	7959333
-1	700	350	3	9151333
-1	700	350	4	9752000
-1	700	350	5	9643333
-1	700	350	6	9999333
-1	700	350	7	9796667
-1	700	350	8	9670667
-1	700	350	9	9654667
-1	700	350	10	9565333
-1	700	400	2	7959333
-1	700	400	3	9010000
-1	700	400	4	9862667
-1	700	400	5	10292667
-1	700	400	6	10456000
-1	700	400	7	10142667
-1	700	400	8	10012667
-1	700	400	9	10012667
-1	700	400	10	10012667
-1	700	450	2	7959333
-1	700	450	3	9010000
-1	700	450	4	9874667
-1	700	450	5	10456000
-1	700	450	6	10401333
-1	700	450	7	10102667
-1	700	450	8	10102667
-1	700	450	9	10102667
-1	700	450	10	10102667
-1	700	500	2	7959333
-1	700	500	3	9010000
-1	700	500	4	9964667
-1	700	500	5	10599333
-1	700	500	6	10790000
-1	700	500	7	10376000
-1	700	500	8	10376000
-1	700	500	9	10376000
-1	700	500	10	10376000
-1	800	0	2	7959333
-1	800	0	3	8798667
-1	800	0	4	8459333
-1	800	0	5	8503333
-1	800	0	6	8932000
-1	800	0	7	8770000
-1	800	0	8	8846000
-1	800	0	9	9042667
-1	800	0	10	9895333
-1	800	50	2	7959333
-1	800	50	3	9152667
-1	800	50	4	9314667
-1	800	50	5	9609333
-1	800	50	6	10105333
-1	800	50	7	9890667
-1	800	50	8	9413333
-1	800	50	9	8374667
-1	800	50	10	8252667
-1	800	100	2	7959333
-1	800	100	3	9152667
-1	800	100	4	9361333
-1	800	100	5	9634667
-1	800	100	6	10231333
-1	800	100	7	9605333
-1	800	100	8	9116667
-1	800	100	9	8967333
-1	800	100	10	9032000
-1	800	150	2	7959333
-1	800	150	3	9122000
-1	800	150	4	9730000
-1	800	150	5	9581333
-1	800	150	6	10266000
-1	800	150	7	10042667
-1	800	150	8	9540667
-1	800	150	9	9738667
-1	800	150	10	9536667
-1	800	200	2	7959333
-1	800	200	3	9152000
-1	800	200	4	9768667
-1	800	200	5	9800667
-1	800	200	6	10284000
-1	800	200	7	10144667
-1	800	200	8	9866667
-1	800	200	9	9576667
-1	800	200	10	9554667
-1	800	250	2	7959333
-1	800	250	3	9152000
-1	800	250	4	9864667
-1	800	250	5	10034000
-1	800	250	6	10320000
-1	800	250	7	10094667
-1	800	250	8	9788000
-1	800	250	9	9788000
-1	800	250	10	9788000
-1	800	300	2	7959333
-1	800	300	3	9151333
-1	800	300	4	9786667
-1	800	300	5	10122000
-1	800	300	6	10096667
-1	800	300	7	10012000
-1	800	300	8	9871333
-1	800	300	9	9781333
-1	800	300	10	9781333
-1	800	350	2	7959333
-1	800	350	3	9151333
-1	800	350	4	9752000
-1	800	350	5	9644000
-1	800	350	6	9942000
-1	800	350	7	9754667
-1	800	350	8	9628667
-1	800	350	9	9628667
-1	800	350	10	9539333
-1	800	400	2	7959333
-1	800	400	3	9010000
-1	800	400	4	9862667
-1	800	400	5	10292667
-1	800	400	6	10456000
-1	800	400	7	10142667
-1	800	400	8	10012667
-1	800	400	9	10012667
-1	800	400	10	10012667
-1	800	450	2	7959333
-1	800	450	3	9010000
-1	800	450	4	9874667
-1	800	450	5	10456000
-1	800	450	6	10401333
-1	800	450	7	10102667
-1	800	450	8	10102667
-1	800	450	9	10102667
-1	800	450	10	10102667
-1	800	500	2	7959333
-1	800	500	3	9010000
-1	800	500	4	9964667
-1	800	500	5	10599333
-1	800	500	6	10790000
-1	800	500	7	10376000
-1	800	500	8	10376000
-1	800	500	9	10376000
-1	800	500	10	10376000
-1	900	0	2	7959333
-1	900	0	3	8798667
-1	900	0	4	8459333
-1	900	0	5	8503333
-1	900	0	6	8932000
-1	900	0	7	8770000
-1	900	0	8	8971333
-1	900	0	9	9115333
-1	900	0	10	9968000
-1	900	50	2	7959333
-1	900	50	3	9152667
-1	900	50	4	9314667
-1	900	50	5	9661333
-1	900	50	6	10244000
-1	900	50	7	10154667
-1	900	50	8	9853333
-1	900	50	9	8947333
-1	900	50	10	8871333
-1	900	100	2	7959333
-1	900	100	3	9152667
-1	900	100	4	9361333
-1	900	100	5	9634667
-1	900	100	6	10148000
-1	900	100	7	9632667
-1	900	100	8	9192000
-1	900	100	9	9110667
-1	900	100	10	9032667
-1	900	150	2	7959333
-1	900	150	3	9122000
-1	900	150	4	9730000
-1	900	150	5	9581333
-1	900	150	6	10137333
-1	900	150	7	9914000
-1	900	150	8	9489333
